"Country_Name","Country.Code","gdp_2006","gdp_2007","gdp_2016","gdp_2017","life_exp_2006","life_exp_2007","life_exp_2016","life_exp_2017","pop_2006","pop_2007","pop_2016","pop_2017","popw_2006","popw_2007","popw_2016","popw_2017","urban_2006","urban_2007","urban_2016","urban_2017","educ_spend2006","educ_spend2007","educ_spend2016","educ_spend2017","net_use_2006","net_use_2007","net_use_2016","net_use_2017"
"Chile","CHL",11808.83477,12256.42969,14771.25765,14748.51058,77.865,78.099,79.779,79.909,16354504,16530195,18209068,18470439,11003316,11183365,12531890,12704690,86.842,86.9,87.422,87.49,3.02153,3.21379,5.35064,5.41582,34.49775117,35.9,83.55858602,82.32748693
"China","CHN",3062.534905,3480.152725,6883.895425,7308.065366,73.271,73.553,76.21,76.47,1311020000,1317885000,1378665000,1386395000,952765169,961863202,995434082,994288090,43.868,45.199,56.736,57.96,NA,NA,NA,NA,10.52315262,16,53.2,54.3
"Colombia","COL",5684.022856,5998.788143,7626.002946,7613.726577,74.5,74.732,76.732,76.925,43200897,43737516,48171392,48901066,27752637,28304275,32765192,33372043,76.423,76.816,80.108,80.446,3.92714,4.09244,4.47672,4.49839,15.34167454,21.8,58.13649357,62.25988032
"Comoros","COM",1289.471094,1269.005529,1350.161396,1355.539396,60.407,60.734,63.7,63.912,626425,641620,795592,813892,344479,354485,454276,466072,27.863,27.867,28.619,28.784,NA,NA,NA,NA,2.2,2.5,7.938322771,8.478170295
"Congo, Dem. Rep.","COD",306.5282607,315.2638635,407.2896431,408.9247934,54.401,55.091,59.655,60.026,56578037,58453683,78789127,81398764,28914744,29816579,39893703,41266543,37.971,38.47,43.307,43.88,NA,NA,2.11869,1.46951,0.29605361,0.37,6.20997406,8.619904916
"Congo, Rep.","COG",2640.318294,2510.735183,2851.975419,2693.4285,56.573,57.541,63.556,63.954,3745141,3876119,4980999,5110702,2082418,2157361,2755424,2831975,61.441,61.893,66.001,66.459,NA,NA,NA,NA,2.007990079,2.759704374,8.121949323,8.65
"Costa Rica","CRI",7289.904345,7779.325378,9509.73874,9732.269947,78.239,78.362,79.738,79.914,4345412,4404628,4899345,4949954,2900756,2961496,3389559,3423988,66.935,68.174,77.735,78.56,4.63918,4.6589,7.09768,7.4026,25.1,28.4,65.88044919,71.3907709
"Cote d'Ivoire","CIV",1207.086746,1201.716606,1539.315735,1616.169292,50.561,51.091,56.567,57.017,18754916,19171237,23822714,24437469,9938653,10171610,13054491,13438825,45.652,46.071,49.881,50.326,4.0015,4.25833,5.39423,5.14353,1.524900791,1.8,41.20781493,43.83992085
"Croatia","HRV",14151.23036,14902.18836,14718.93319,15331.90248,75.83682927,75.70560976,78.02195122,77.82682927,4311159,4310217,4174349,4124531,2894527,2894882,2753101,2703200,54.483,54.651,56.403,56.667,NA,3.96922,NA,NA,37.98,41.44,72.69726967,67.09619204
"Cuba","CUB",4924.129609,5286.480195,6550.274373,6664.658302,77.864,78.019,78.607,78.662,11261248,11251122,11335109,11339259,7886772,7877650,7825542,7803181,76.227,76.32,76.93,76.977,9.05717,11.86821,NA,NA,11.15960131,11.69,42.97867519,57.14840432
"Curacao","CUW",NA,NA,NA,NA,74.7097561,75.36341463,77.7195122,78.01707317,141239,144056,159664,160175,93738,95680,103230,103323,90.411,90.287,89.272,89.203,NA,NA,NA,NA,NA,NA,61.85551074,68.12721625
"Cyprus","CYP",31470.92463,32378.57011,29081.8161,30100.15559,78.764,78.91,80.513,80.672,1045507,1063713,1170187,1179680,727064,743240,819171,822803,68.125,67.982,66.881,66.836,6.33027,6.28083,NA,NA,35.83,40.77,75.9002054,80.74318897
